ID,latitude,longitude,address,state,town,pinno,verified
10131,19.0392101,72.9465684,shop no2728new janta colony chita camp trombay 400088,maharashtra,mumbai,400088,Y
10132,19.0669689,72.89467,shop no 3 nr lal maidan tilaknagar  400042,maharashtra,mumbai,400042,Y
10133,19.0273199,72.8537906,ground floorplotpalai compex 1 359 bhandarkar rd matunga cr 400019,maharashtra,mumbai,400019,Y
10134,19.1014217,72.9117452,amrut nagar  ghatkopar west  400086,maharashtra,mumbai,400086,Y
10138,19.0471125,72.9301341,mankhurd gaon mankhurd    400088,maharashtra,mumbai,400088,Y
10139,19.0666032,72.8749772,shop no 23 chistiya heights lbs marg kurla west  400070,maharashtra,mumbai,400070,Y
10141,19.045873,72.9015277,chembure camp wadavli vasant vihar complex 400071,maharashtra,mumbai,400071,Y
10142,19.1036308,72.8882707,lokmanya tilak nagar shop no  8 jai bhavani housing society sakinaka mumbai 400072,maharashtra,mumbai,400072,Y
10143,19.0585246,72.8861701,sg barve marg nehru nagar kurla east rajiv gandhi nagar chembur 400071,maharashtra,mumbai,400071,Y
10144,19.0554851,72.9105843,8934 ng acharya marg muktinagar chembur  400071,maharashtra,mumbai,400071,Y
10145,19.057169,72.8980432,opposite vaishali hotel chembur mumbai maharashtra  400071,maharashtra,mumbai,400071,Y
10147,19.0658396,72.8759218,659 hp keluskar marg chhadva nagar kurla w kurla chhadva nagarkurla 400070,maharashtra,mumbai,400070,Y
10151,19.0457241,72.9024815,shop no16 dr cg rd bus depot campe chembur colony chembur 400074,maharashtra,mumbai,400074,Y
10152,19.0953310299665,72.9037488531321,bhatwadi bhatwadi bhatwadi 400084,maharashtra,mumbai,400084,Y
10154,19.0969778,72.8954157,shop no 1 hasan manzil 2 pipe line rd asalpha  400084,maharashtra,mumbai,400084,Y
10156,19.0891179,72.9055506,trimurti arcade lal bahadur s near sarvodaya hospital gandh kirti vihar ghatkopar west 400086,maharashtra,mumbai,400086,Y
10158,19.0854053,72.8807884,m n road andheri  kurla rd opposite bail bazar police cho bail bajar mumbai maharashtr 400099,maharashtra,mumbai,400099,Y
10159,19.0875196,72.8980852,station road ghatkopar west  400086,maharashtra,mumbai,400086,Y
10161,19.1030782,72.8906571,pipe line rd bandi bazaar nair wadi asalpha  400072,maharashtra,mumbai,400072,Y
10163,19.1350018,72.9000233,morarji nagar filterpada  400072,maharashtra,mumbai,400072,Y
10166,19.1193157,72.8903913,shop no 12 opp  to oxford chambers tunga tunga village  signal powai 400072,maharashtra,mumbai,400072,Y
10167,19.0862466,72.9100191,plot no273 jawahar rd  shival nagar saibaba nagar pant nagar ghatkopar east 400077,maharashtra,mumbai,400077,Y
10168,19.0646502,72.8992178,gulshan baug chembur west bmc colony chedda nagar mumbai 400069,maharashtra,mumbai,400069,Y
10170,19.0871186,72.8980236,lal bahadur shastri marg chirag nagar ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y
10174,19.1248387,72.8930233,l tgate chandivali east 400072,maharashtra,mumbai,400072,Y
10175,19.0537508,72.8885169,sindhi society chembur mumbai 400071,maharashtra,mumbai,400071,Y
10176,19.0668417,72.8794394,cstroad nrkurla stationw  400070,maharashtra,mumbai,400070,Y
10177,19.0606171,72.9040355,vishranti towers narayan vishranti towers narayan vishranti towers narayan 400071,maharashtra,mumbai,400071,Y
10181,19.086497,72.910352,jawahar rd shival nagar saibaba nagar pant nagar ghatkopar east mumbai 400077,maharashtra,mumbai,400077,Y
10182,19.0537471,72.8881578,sion  trombay rd lal dongar kurla mumbai 400071,maharashtra,mumbai,400071,Y
10189,19.1037049,72.8880546,metro station shop no 2 link road sakinaka saki naka mumbai 400072,maharashtra,mumbai,400072,Y
10191,19.0747679,72.8726139,24 cst road kurla west kurla mumbai  400070,maharashtra,mumbai,400070,Y
10195,19.0646034,72.899114,shop no 1 narayan gajanan ach sawan bazar chembur east chembur gaothan chembur 400071,maharashtra,mumbai,400071,Y
10199,19.0516853,72.8900168,shop no 2 nichaldas market sindhi society chembur 400071,maharashtra,mumbai,400071,Y
10200,19.0792453,72.9088152,odeon apartments ramnarayan n mhada colony pant nagar ghatkopar east mumbai 400077,maharashtra,mumbai,400077,Y
10203,19.0784405,72.910974, vallabh baug ln railway police colony ghatkopar east  400075,maharashtra,mumbai,400075,Y
10206,19.0530211,72.870262,no 3 surusha coop ho society v n purav chunabhatti east 400022,maharashtra,mumbai,400022,Y
10210,19.0932654,72.8852616,3vvp94q opp st judes  kajupada pipeline rd kurla west mumbai maharashtr 400072,maharashtra,mumbai,400072,Y
10212,19.1036914,72.8880608,sakinaka metro station nair wadi saki naka  400072,maharashtra,mumbai,400072,Y
10213,19.1351887,72.9001533,vihar lake rd near amit gate murarji nagar mayur nagar passpoli powai mumbai mahar 400087,maharashtra,mumbai,400087,Y
10216,19.0141504,72.8902144,2v7rq48 port trust rd mahul village ambapada mahul trombay 400074,maharashtra,mumbai,400074,Y
10218,19.0398166,72.9476692,csector c line shop number 20 cheeta camp trombaymumbai 400088,maharashtra,mumbai,400088,Y
10220,19.051366,72.9025741,shop no 1213 fair lawn societ opp kstar mall st rd chembur chembur 400071,maharashtra,mumbai,400071,Y
10221,19.0500781,72.9049368,shop no 1 shiv shakti chs building 1 sion  trombay rd atur park union park chembur 400071,maharashtra,mumbai,400071,Y
10222,19.0818251,72.8977723,shop no1dhanraj gupta house vidyavihar west vidyavihar we vidyavihar mumbai maharashtr 400086,maharashtra,mumbai,400086,Y
10223,19.0833552,72.915383,shop no 27 pant nagar shop no 27 pant nagar shop no 27 pant nagar 400075,maharashtra,mumbai,400075,Y
10224,19.0533853,72.8776244,shop no 3 lager apartment mr n east road chunabhatti 400025,maharashtra,mumbai,400025,Y
10228,19.0949193,72.8951841,surya krupa chs nssroad asalpha village near shivsena office ghatkopar west 400084,maharashtra,mumbai,400084,Y
10230,19.1708905,72.8452925,101102 parvati niwas opp patel petrol pump sv road goregaon west mumbai 400062,maharashtra,mumbai,400062,Y
10231,19.0366283,72.9456527,shop no 2 sahkar baugh shop no 2 sahkar baugh shop no 2 sahkar baugh 400088,maharashtra,mumbai,400088,Y
10232,19.1213801,72.8799318,shop no 5 vijay tower marol marloshi rd  andheri e  400051,maharashtra,mumbai,400051,Y
10234,19.0792239,72.909384,shop no 15a odeon shopping center ghatkopar 400077,maharashtra,mumbai,400077,Y
10235,19.0801,72.880725,shop no01326malik compound lbs marg near shital cinem oppgouziya hospital kurla w 400072,maharashtra,mumbai,400072,Y
10243,19.0534804,72.8769102,vn purav marg samarth nagar chunabhatti sion mumbai 400022,maharashtra,mumbai,400022,Y
10244,19.0641628,72.8813992,sg barve marg jagruti nagar police colony kurla mumbai 400024,maharashtra,mumbai,400024,Y
10245,19.0800758,72.8490658,shop no 1 aristrorate marbl opp malhar wines santacruz eas  400073,maharashtra,mumbai,400073,Y
10246,19.0579896,72.8746264,shop no9 chunabhatti rd chunabhatti mumbai 400022,maharashtra,mumbai,400022,Y
10247,19.069486,72.8963202,sainath mandir chowk chembur west tilak nagar kurla mumbai 400089,maharashtra,mumbai,400089,Y
10251,19.0605157,72.8994365,shop no 5  6 akshaya plaza plot no 12 rd no 1 chembur gaothan chembur mumb 400071,maharashtra,mumbai,400071,Y
10252,19.0469685,72.9300656,siddharth chowkh oppnavy gate station rd mankhurd gaon mankhurd 400088,maharashtra,mumbai,400088,Y
10253,19.0346186,72.9488759,soon vn purav rd mankhurd trombay  400088,maharashtra,mumbai,400088,Y
10254,19.0858952,72.8287799,5 queens park juhu tara road santacruz west  400049,maharashtra,mumbai,400049,Y
10255,19.0844749,72.9128618, pant nagar ghatkopar east mumbai  400075,maharashtra,mumbai,400075,Y
10257,19.0913408,72.9105496,shop no9 gopal bhavan patel opposite gurukrupa building ga lal bahadur shastri marg gang 400086,maharashtra,mumbai,400086,Y
10258,19.0363302,72.9458342,shop number133 amar nagar number115a2 dhobhighat vn purav rd trombay 400088,maharashtra,mumbai,400088,Y
10260,19.0338248,72.8959616, ramakrishna chemburkar marg naka gurudwara s v patel nagar chembur 400074,maharashtra,mumbai,400074,Y
10262,19.0812897,72.8811691,1441 sonapur lane old kurla west sonapur lane  400070,maharashtra,mumbai,400070,Y
10265,19.1066218,72.890512,kherani road kherani road kherani road 400086,maharashtra,mumbai,400086,Y
10267,19.0663428684959,72.8748797209858,shop no 2 kantharia mahal l b s road kurla west kurla west mumbai 400070,maharashtra,mumbai,400070,Y
10269,19.0624637063996,72.8999488206751,station road chembure  400071,maharashtra,mumbai,400071,Y
10270,19.0460267,72.901075,kolwada borla rd  borla union park chembur 400071,maharashtra,mumbai,400071,Y
10275,19.0466076,72.941655,maharashtra nagar mankhurd  400042,maharashtra,mumbai,400042,Y
10276,19.0673256,72.8939634,bldg no 66 dhananjay cooperative housing shop no 1 tilak nagar chembu 400089,maharashtra,mumbai,400089,Y
10278,19.0803995,72.9046511, vallabh baug ln jalaram nagar no2  ghatkopar east 400077,maharashtra,mumbai,400077,Y
10282,19.0623523,72.9049908,pllokhande marg chembur west new garib janta nagar chembur 400089,maharashtra,mumbai,400089,Y
10286,19.0813016,72.8828529,330c gala no 4 kolsawala ch chawl father peter pereira road kurla 400027,maharashtra,mumbai,400027,Y
10287,19.0695346,72.8779025,shop no 504 pramila kutir new mill road kurla w mumbai 400070,maharashtra,mumbai,400070,Y
10289,19.0811976,72.9044371,shop no 12 neelkanth market opp rasiklal jewellers ghatkopar east 400077,maharashtra,mumbai,400077,Y
10290,19.1088067,72.880854,shop number g2 corporate poin makwana rd marol andheri east mumbai 400059,maharashtra,mumbai,400059,Y
10293,19.0774053,72.9009092,oppsomaiya college ghatkopare  400089,maharashtra,mumbai,400089,Y
10295,19.053095,72.8703379,167166 vn purav marg samart  nagar chunabhatti sion mumbai maharashtra 400022,maharashtra,mumbai,400022,Y
10296,19.0833692,72.9053435,market hing wala lane ghatkopare 400074,maharashtra,mumbai,400074,Y
10298,19.0630071,72.919648,plot no 12n1 road no 1 near shivsena shakha govandi govandi west phase 1 shivaji 400043,maharashtra,mumbai,400043,Y
10299,19.051673,72.8896397,shop no 4 5 sindhi society shop no 4 5 sindhi society shop no 4 5 sindhi society 400071,maharashtra,mumbai,400071,Y
10309,19.0398349,72.8961251,seth heights galiakot wala rd chembur mumbai 400074,maharashtra,mumbai,400074,Y
10314,19.0925753,72.8283422,shop no 2 foreshore apartment juhu tara road santacruz west  400040,maharashtra,mumbai,400040,Y
10316,19.0880111,72.8982258,chirag nagar jaiswal medical ghatkopar  400086,maharashtra,mumbai,400086,Y
10323,19.0876213,72.897925,shop no 1 chirag nagar new classic medical  400086,maharashtra,mumbai,400086,Y
10324,19.0632463,72.9193454,plot no 6s1 shivaji nagar main road govandi govandi 400043,maharashtra,mumbai,400043,Y
10325,19.0476775,72.8933082,oppnavjivan society chembure chembur 400071,maharashtra,mumbai,400071,Y
10327,19.0455904,72.8946304,shop no12 cg rd near satu sweet shop chembur camp chembur colony chemburmumbai 400074,maharashtra,mumbai,400074,Y
10329,19.0839824,72.9033921,shop no 5 mahalaxmi apt shop no 5 mahalaxmi apt shop no 5 mahalaxmi apt 400072,maharashtra,mumbai,400072,Y
10332,19.0526516,72.8908062,plot no46d grd floor ganaga laxmi sadan c sindhi society chembur 400071,maharashtra,mumbai,400071,Y
10334,19.068554,72.8807596,shop no 1b a wing rajal opp first height brahmanwadi pipe line rd kurla west 400070,maharashtra,mumbai,400070,Y
10335,19.1333693,72.8969143,dargah rd kailash nagar passpoli goregaon  400087,maharashtra,mumbai,400087,Y
10342,19.1009812,72.9095854,2 rifle range rd ram nagar hanuman nagar ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y
10344,19.1040037,72.9113711,aashish building cooperative housing society near jain man dir amrut nagar ghatkopar w 400086,maharashtra,mumbai,400086,Y
10345,19.0727328,72.8758509,mubeen manzil  lal bahadur shastri marg ambedkar nagar kurla 400070,maharashtra,mumbai,400070,Y
10351,19.0518574,72.8900787,shop number 1 stall number 1 nichaldas market sindhi colon sindhi society 400071,maharashtra,mumbai,400071,Y
10358,19.070794,72.8983457,jyoti chs shop no3 tilak nagar west mumbai 400089,maharashtra,mumbai,400089,Y
10360,19.0974213,72.8948881,hindi bal vidya mandir dhobi ghatpipe line pereira w ghatkopar west mumbai mahara 400084,maharashtra,mumbai,400084,Y
10366,19.0402272,72.9474468,chita camp mktbehind ganesh m   400088,maharashtra,mumbai,400088,Y
10367,19.064096,72.8817957,sg barve marg nehru nagar kurla 400024,maharashtra,mumbai,400024,Y
10368,19.0620349,72.8832225,shop numberb 117 sg barve kedarnath mandir marg nehru nagar kurla mumbai 400024,maharashtra,mumbai,400024,Y
10372,19.0523533,72.9327199,shop no205 bldg no5 pmg p colony mankhurd  400043,maharashtra,mumbai,400043,Y
10373,19.085001,72.8806124,kurla west kurla mumbai     400099,maharashtra,mumbai,400099,Y
10377,19.0408763,72.8939613,maroly church bus stop chembure camp  400074,maharashtra,mumbai,400074,Y
10379,19.0556116,72.9103166,3w46646 na santosh nagar nagesh patilwadi chembur  400071,maharashtra,mumbai,400071,Y
10384,19.106943,72.891389,gala no3 mn dsouza compou khairani rd opp sj studio saki naka mumbai 400072,maharashtra,mumbai,400072,Y
10386,19.1000252,72.8929555,shop no 8 padma society pereira wadi mohili village saki naka mumbai 400072,maharashtra,mumbai,400072,Y
10390,19.0767294,72.8777994,lbs marg kurla   400070,maharashtra,mumbai,400070,Y
10399,19.063187,72.9192388,plot no 6s1 shivaji nagar main road govandi govandi 400043,maharashtra,mumbai,400043,Y
10403,19.0861386,72.9079809,near india post office bhatwadi kapol wadi ghatkopar west 400086,maharashtra,mumbai,400086,Y
10404,19.0866825,72.9130522,uilding no 106k uilding no 106k uilding no 106k 400075,maharashtra,mumbai,400075,Y
10406,19.083673,72.9148216,shop no 3 naidu colony pant nagar ghatkopar east 400075,maharashtra,mumbai,400075,Y
10410,19.1165726,72.8890473,saidham asha nagar p k rd mulund west mumbai 400072,maharashtra,mumbai,400072,Y
10412,19.1218132,72.8911929,no 10 tristar chs sristi complex 7 road opp l and t budhia jadhav wadi marol pow 400072,maharashtra,mumbai,400072,Y
10413,19.095836,72.8959393,93 andheri  ghatkopar link 93 andheri  ghatkopar link 93 andheri  ghatkopar link 400072,maharashtra,mumbai,400072,Y
10415,19.0335618,72.8959694,2vmw7c9 vasi naka gurudwara s v patel nagar chembur mumbai maharashtra 400074 400074,maharashtra,mumbai,400074,Y
10417,19.0964129,72.8961123,asalfa link road ghatkopar w  400086,maharashtra,mumbai,400086,Y
10420,19.0771037,72.9001823,7 th road  vidyvihar e  400077,maharashtra,mumbai,400077,Y
10421,19.0813434,72.9118702,90 ft road near ganesh mandir pantnagar ghatkopar e mumbai 400075,maharashtra,mumbai,400075,Y
10423,19.08157,72.9043107,mg road ghatkopar e   400077,maharashtra,mumbai,400077,Y
10427,19.0451296,72.8987262,near rcf gate chembur   400074,maharashtra,mumbai,400074,Y
10430,19.045687,72.8951781,199 cg rd camp east chembur colony indira nagar kurla mumbai 400074,maharashtra,mumbai,400074,Y
10433,19.0854862,72.9098494,shop no46 building no 3 cell master keshav ramada  ahire marg ghatkopar 400077,maharashtra,mumbai,400077,Y
10443,19.0705203,72.8757375,12 lal bahadur shastri marg  kurla west kurla mumbai  400070,maharashtra,mumbai,400070,Y
10450,19.0810305,72.9064165,gheewala building tilak rd pant nagar ghatkopar east 400077,maharashtra,mumbai,400077,Y
10451,19.0528577930215,72.8713144891004,vnpurve marg chunabhatti  400079,maharashtra,mumbai,400079,Y
10456,19.0710023,72.9016123,3 gm road near shoppers stop chembur mumbai  400089,maharashtra,mumbai,400089,Y
10458,19.0649801,72.8921037,shop no16 dr cg rd near bus depot campe chembur colony 400071,maharashtra,mumbai,400071,Y
10459,19.068602,72.8955681,shopno 1 bldg no59 chembur west tilak nagar mumbai 400089,maharashtra,mumbai,400089,Y
10461,19.0537313,72.8897603,11b thakkar bappa colony rd umarshi bappa chowk sindhi society chembur 400071,maharashtra,mumbai,400071,Y
10464,19.0735523,72.8298926,1st 567 tanna kutir cdmarg khar danda road 17th rd corner khar west 400052,maharashtra,mumbai,400052,Y
10467,19.0933825,72.9124324,lbsmarg ghatkoparw ghatkopar 400086,maharashtra,mumbai,400086,Y
10469,19.0652323,72.8963733,shop nomw12324 dr ambedka indira nagar tilak nagar chembur west mumbai maharash 400089,maharashtra,mumbai,400089,Y
10471,19.0429344,72.893394,oppshagun hall rcmarg chembure 400074,maharashtra,mumbai,400074,Y
10472,19.0675212,72.894782,shop number 13 building number 55  prakash thorat marg tilak na 400089,maharashtra,mumbai,400089,Y
10478,19.0769554,72.9013047,101 mahatma gandhi rd pant nagar ghatkopar east 400077,maharashtra,mumbai,400077,Y
10479,19.1130636,72.8977752,shop no2 nahar business cent nahars amrit shakti rd lok milan colony chandivali 400072,maharashtra,mumbai,400072,Y
10480,19.05958,72.9242404,rickshaw stand rd number 9 govandi slums govandi west baiganwadi govandi east mumb 400043,maharashtra,mumbai,400043,Y
10482,19.0843149,72.9046545,shop no 2 p r j k school buil  camalane opposite girnar tea ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y
